"","Response","Taxon","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"132","Abundance","Coleoptera","Random effects","Coordinates",NA,259.200100519041,19,0,"****",0.0928642808785498,1572.30738424678,2000
"133","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-1.14094014226461,-2.956838124988,19,0.00310811243122666,"**",0.0252711622256528,10731.5010379089,2000
"134","Abundance","Ephemeroptera","Fixed effects","Area",-2.41023705623511,-7.33211188061896,19,2.26553833464649e-13,"****",0.0252711622256528,10731.5010379089,2000
"135","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2368.23058810906,19,0,"****",0.0252711622256528,10731.5010379089,2000
"136","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.616149150413257,-2.38638713216645,20,0.0170148293130936,"*",0.650439991587006,1621.82153133761,2000
"137","Abundance","Hemiptera","Fixed effects","Area",4.05241813693692,7.89018258690595,20,3.01744736856798e-15,"****",0.650439991587006,1621.82153133761,2000
"138","Abundance","Hemiptera","Random effects","Coordinates",NA,512.854457906724,20,0,"****",0.650439991587006,1621.82153133761,2000
"139","Abundance","Hymenoptera","Fixed effects","(Intercept)",-1.1665962727288,-3.04583329774068,19,0.00232036445092882,"**",0.105799315350853,974.822223861044,2000
"140","Abundance","Hymenoptera","Fixed effects","Area",3.38306561172287,4.38701742571097,19,1.14915586320405e-05,"****",0.105799315350853,974.822223861044,2000
"141","Abundance","Hymenoptera","Random effects","Coordinates",NA,87.1495044489905,19,0,"****",0.105799315350853,974.822223861044,2000
"142","Abundance","Nematocera","Fixed effects","(Intercept)",7.99310097017232,121.447733483463,19,0,"****",0.482362653056445,11716.6190170108,2000
"143","Abundance","Nematocera","Fixed effects","Area",-9.33792293883216,-64.2285599296543,19,0,"****",0.482362653056445,11716.6190170108,2000
"144","Abundance","Nematocera","Random effects","Coordinates",NA,7455.33271253428,19,0,"****",0.482362653056445,11716.6190170108,2000
"145","Abundance","Trichoptera","Fixed effects","(Intercept)",2.33960351784024,5.99128938484766,20,2.08183811542183e-09,"****",0.225232849404364,792.350158866257,2000
"146","Abundance","Trichoptera","Fixed effects","Area",-4.76943319865477,-5.60275459973594,20,2.10971816961826e-08,"****",0.225232849404364,792.350158866257,2000
"147","Abundance","Trichoptera","Random effects","Coordinates",NA,110.581142852162,20,0,"****",0.225232849404364,792.350158866257,2000
"148","Abundance","Brachycera","Fixed effects","(Intercept)",0.828172256450199,3.12302100190552,20,0.00179004974150351,"**",-0.00644011749188933,1819.7101284158,2500
"149","Abundance","Brachycera","Fixed effects","Area",1.44761316779898,2.70852478221423,20,0.00675830645871096,"**",-0.00644011749188933,1819.7101284158,2500
"150","Abundance","Brachycera","Random effects","Coordinates",NA,141.184743286424,20,0,"****",-0.00644011749188933,1819.7101284158,2500
"151","Abundance","Coleoptera","Fixed effects","(Intercept)",-1.68158022652034,-4.67036552701233,19,3.00664251585262e-06,"****",0.0665358019321545,1616.84309265229,2500
"152","Abundance","Coleoptera","Fixed effects","Area",5.64901060517707,7.91177488668403,19,2.53744921884959e-15,"****",0.0665358019321545,1616.84309265229,2500
"153","Abundance","Coleoptera","Random effects","Coordinates",NA,238.733272938799,19,0,"****",0.0665358019321545,1616.84309265229,2500
"154","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-1.1449365704199,-2.9321166319172,19,0.00336660287855595,"**",0.0225796150178682,10766.6876560872,2500
"155","Abundance","Ephemeroptera","Fixed effects","Area",-1.79943401364578,-4.26193668348229,19,2.02662869981415e-05,"****",0.0225796150178682,10766.6876560872,2500
"156","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2224.89480227284,19,0,"****",0.0225796150178682,10766.6876560872,2500
"157","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.196759247582417,-0.731990688404333,20,0.4641742512355,"ns",0.651770546750561,1655.523967156,2500
"158","Abundance","Hemiptera","Fixed effects","Area",3.16858812752568,5.96990569592371,20,2.37390760576181e-09,"****",0.651770546750561,1655.523967156,2500
"159","Abundance","Hemiptera","Random effects","Coordinates",NA,463.670640590558,20,0,"****",0.651770546750561,1655.523967156,2500
