"","Response","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"41","SAD-component","Fixed effects","(Intercept)",0.675953333585134,3.54379885514339,13,0.000446462156377013,"***",0.496849718466855,953.725570143291,1000
"42","SAD-component","Fixed effects","Area",1.33476496546475,3.3341899407216,13,0.000944574990294694,"***",0.496849718466855,953.725570143291,1000
"43","SAD-component","Fixed effects","Life cycle",1.71499817787338,10.8410808024066,13,6.97661423755178e-24,"****",0.496849718466855,953.725570143291,1000
"44","SAD-component","Fixed effects","Area:Life cycle",-0.280827625778146,-1.00937030587514,13,0.313476140505742,"ns",0.496849718466855,953.725570143291,1000
"45","SAD-component","Random effects","Coordinates",NA,31.1864702647903,13,0.00255194508230439,"**",0.496849718466855,953.725570143291,1000
"46","N-component","Fixed effects","(Intercept)",1.11003239118289,13.9654605640939,13,8.14663982680565e-36,"****",0.228093928208697,651.83745250869,1000
"47","N-component","Fixed effects","Area",-1.00634049367937,-6.39234113139301,13,4.98899849402799e-10,"****",0.228093928208697,651.83745250869,1000
"48","N-component","Fixed effects","Life cycle",-0.987682343405354,-9.30881348681992,13,1.22745252056783e-18,"****",0.228093928208697,651.83745250869,1000
"49","N-component","Fixed effects","Area:Life cycle",1.78625103068752,9.55008261224472,13,1.93058276069601e-19,"****",0.228093928208697,651.83745250869,1000
"50","N-component","Random effects","Coordinates",NA,17.8288003474669,13,0.0218901731162608,"*",0.228093928208697,651.83745250869,1000
"51","SAD-component","Fixed effects","(Intercept)",1.06403222718114,8.15163420451641,12,5.82079689172444e-15,"****",0.486411148060768,956.26803791869,1500
"52","SAD-component","Fixed effects","Area",0.484260004783109,1.8602955961743,12,0.0636483741914324,".",0.486411148060768,956.26803791869,1500
"53","SAD-component","Fixed effects","Life cycle",1.74911626082077,10.7258307966783,12,1.63564181244555e-23,"****",0.486411148060768,956.26803791869,1500
"54","SAD-component","Fixed effects","Area:Life cycle",-0.296212215622186,-1.01925471569559,12,0.308757625084223,"ns",0.486411148060768,956.26803791869,1500
"55","SAD-component","Random effects","Coordinates",NA,15.954143728576,12,0.0564085402907323,".",0.486411148060768,956.26803791869,1500
"56","N-component","Fixed effects","(Intercept)",1.10632743056706,13.220755948677,12,6.88481319407499e-33,"****",0.208322190147565,660.804584351429,1500
"57","N-component","Fixed effects","Area",-0.978458301607635,-5.92422772113519,12,7.24418375479321e-09,"****",0.208322190147565,660.804584351429,1500
"58","N-component","Fixed effects","Life cycle",-0.97899526950284,-8.89142018412794,12,2.80110703560268e-17,"****",0.208322190147565,660.804584351429,1500
"59","N-component","Fixed effects","Area:Life cycle",1.75970733676651,8.96881001891763,12,1.57725644649258e-17,"****",0.208322190147565,660.804584351429,1500
"60","N-component","Random effects","Coordinates",NA,15.3682476534937,12,0.0275418052457288,"*",0.208322190147565,660.804584351429,1500
"61","SAD-component","Fixed effects","(Intercept)",1.05599573006922,7.53084381395712,12,4.00171677260937e-13,"****",0.486027434582191,956.590690439761,2000
"62","SAD-component","Fixed effects","Area",0.491280374895588,1.7637190149782,12,0.0786165373135496,".",0.486027434582191,956.590690439761,2000
"63","SAD-component","Fixed effects","Life cycle",1.75927667072983,10.3697257065199,12,2.98471943654314e-22,"****",0.486027434582191,956.590690439761,2000
"64","SAD-component","Fixed effects","Area:Life cycle",-0.307794208676678,-1.01349551391484,12,0.3114954353477,"ns",0.486027434582191,956.590690439761,2000
"65","SAD-component","Random effects","Coordinates",NA,15.7748312964772,12,0.0585709792863848,".",0.486027434582191,956.590690439761,2000
"66","N-component","Fixed effects","(Intercept)",1.16439624341907,12.7327088297296,12,5.48840567710667e-31,"****",0.208452176141717,661.270567907011,2000
"67","N-component","Fixed effects","Area",-1.08457110353971,-6.00326228950655,12,4.66655826623233e-09,"****",0.208452176141717,661.270567907011,2000
"68","N-component","Fixed effects","Life cycle",-1.02025155116965,-8.9093280162245,12,2.46556803645652e-17,"****",0.208452176141717,661.270567907011,2000
"69","N-component","Fixed effects","Area:Life cycle",1.82963365976374,8.92612309997906,12,2.17694336036222e-17,"****",0.208452176141717,661.270567907011,2000
"70","N-component","Random effects","Coordinates",NA,18.2668620507365,12,0.017190599430375,"*",0.208452176141717,661.270567907011,2000
"71","SAD-component","Fixed effects","(Intercept)",1.05611334622774,7.12996043687246,12,5.42061316275848e-12,"****",0.485236439696152,956.982303701765,2500
"72","SAD-component","Fixed effects","Area",0.477009435315591,1.65130425643311,12,0.0995367670204916,".",0.485236439696152,956.982303701765,2500
"73","SAD-component","Fixed effects","Life cycle",1.81184358234106,10.2051773225628,12,1.11878375273052e-21,"****",0.485236439696152,956.982303701765,2500
"74","SAD-component","Fixed effects","Area:Life cycle",-0.398168266499125,-1.25867816330951,12,0.20895128839314,"ns",0.485236439696152,956.982303701765,2500
"75","SAD-component","Random effects","Coordinates",NA,14.9538488006817,12,0.0831255535405714,".",0.485236439696152,956.982303701765,2500
"76","N-component","Fixed effects","(Intercept)",1.18763240604557,12.3789213467312,12,1.23308474596589e-29,"****",0.203912870978054,663.057578066677,2500
"77","N-component","Fixed effects","Area",-1.10106218634894,-5.92045972318197,12,7.40004500542263e-09,"****",0.203912870978054,663.057578066677,2500
"78","N-component","Fixed effects","Life cycle",-1.06619506857853,-8.8782321154947,12,3.09311917966158e-17,"****",0.203912870978054,663.057578066677,2500
"79","N-component","Fixed effects","Area:Life cycle",1.8840672263374,8.8059779123862,12,5.27016339186664e-17,"****",0.203912870978054,663.057578066677,2500
"80","N-component","Random effects","Coordinates",NA,16.7470725249983,12,0.0187824810283881,"*",0.203912870978054,663.057578066677,2500
"81","SAD-component","Fixed effects","(Intercept)",1.03503579407511,6.57981545286442,11,1.63713686678848e-10,"****",0.485608084203245,956.536933707206,3000
"82","SAD-component","Fixed effects","Area",0.509214062530789,1.6846248402931,11,0.0929156108321101,".",0.485608084203245,956.536933707206,3000
"83","SAD-component","Fixed effects","Life cycle",1.86019739295327,9.9113136922557,11,1.1544768230247e-20,"****",0.485608084203245,956.536933707206,3000
"84","SAD-component","Fixed effects","Area:Life cycle",-0.484398252029014,-1.45465073335164,11,0.146625204381399,"ns",0.485608084203245,956.536933707206,3000
"85","SAD-component","Random effects","Coordinates",NA,14.5262821220289,11,0.0913118466604164,".",0.485608084203245,956.536933707206,3000
"86","N-component","Fixed effects","(Intercept)",1.23694447083872,11.9199748466611,11,6.75157543317613e-28,"****",0.20529682875924,662.572269167075,3000
"87","N-component","Fixed effects","Area",-1.17310917337229,-5.90048831800902,11,8.26899180251679e-09,"****",0.20529682875924,662.572269167075,3000
"88","N-component","Fixed effects","Life cycle",-1.13792340149389,-8.96768593589841,11,1.59574358891294e-17,"****",0.20529682875924,662.572269167075,3000
"89","N-component","Fixed effects","Area:Life cycle",1.98790701535597,8.83011807062761,11,4.41882343316429e-17,"****",0.20529682875924,662.572269167075,3000
"90","N-component","Random effects","Coordinates",NA,17.1178933707369,11,0.0179141770542141,"*",0.20529682875924,662.572269167075,3000
"91","Abundance-based composition","Fixed effects","(Intercept)",-0.381910120093782,-15.2771624073019,10,3.30935158556689e-34,"****",0.770149035906054,-141.361734019571,100
"92","Abundance-based composition","Fixed effects","Area",0.739815720513598,21.9108611439862,10,2.05049707747485e-52,"****",0.770149035906054,-141.361734019571,100
"93","Abundance-based composition","Random effects","Coordinates",NA,20.6483621759408,10,0.00857081169414953,"**",0.770149035906054,-141.361734019571,100
"94","Occurrence-based composition","Fixed effects","(Intercept)",-0.115802190294731,-6.24434953153797,14,2.89620870854524e-09,"****",0.427383997929739,-219.005583969865,100
