"","Trap","X","Y","Area0100","Area0250","Area0500","Area0750","Area1000","Area1500","Area2000","Area2500","Area3000"
"19","AI08A01",-59.775896,-1.708479,0.111111111111111,0.213636363636364,0.323059360730594,0.379310344827586,0.397271952259165,0.382434826626171,0.381209964412811,0.368787864984285,0.407915967981776
"20","AI08A02",-59.775888,-1.708578,0.0555555555555556,0.190909090909091,0.314772727272727,0.373983739837398,0.393671607753706,0.379271070615034,0.379074733096085,0.367970493146942,0.406832199905108
"21","AI08A03",-59.775964,-1.708978,0,0.127272727272727,0.288329519450801,0.354366481574962,0.378024480500996,0.364475347661188,0.368301188527507,0.362812101330417,0.402373042240152
"22","AI08A04",-59.776147,-1.710066,0,0.0136363636363636,0.216647662485747,0.303183425972713,0.332101222632926,0.327300341728895,0.33980927981782,0.351081758141653,0.391272704259224
"23","AI08A05",-59.776684,-1.712788,0,0,0.0833333333333333,0.151315789473684,0.217675475987496,0.247499683504241,0.286354900704677,0.324635701275046,0.367490271758043
"24","AI08A06",-59.777603,-1.71733,0,0.0723981900452489,0.045766590389016,0.0262361251261352,0.0426499857833381,0.143019726858877,0.214209439738022,0.26756264236902,0.333533634839812
"25","AI10A01",-59.45399722,-1.741025242,0.142857142857143,0.224215246636771,0.254545454545455,0.348024316109422,0.421367521367521,0.517088607594937,0.533456719817768,0.584578247403899,0.589163714574899
"26","AI10A02",-59.45417678,-1.741031225,0.0857142857142857,0.193548387096774,0.247727272727273,0.342105263157895,0.417616875712657,0.516329113924051,0.529888983774552,0.583113216139904,0.587066565426474
"27","AI10A03",-59.45462569,-1.741046182,0,0.116279069767442,0.236363636363636,0.325416877210712,0.407006550840216,0.514307419599899,0.52209807131165,0.579757675138927,0.582714019164479
"28","AI10A04",-59.45570307,-1.741082078,0,0,0.196145124716553,0.271991911021234,0.389410760034159,0.500569692366122,0.504908935685828,0.567419825072886,0.573416400493343
"29","AI12A01",-59.645265,-1.564775,0.514285714285714,0.422727272727273,0.390160183066362,0.400302877334679,0.4574679943101,0.542683697989124,0.544567848497793,0.536267541461637,0.526948380566802
"30","AI12A02",-59.645427,-1.564667,0.375,0.373831775700935,0.376993166287016,0.392532795156408,0.453173925419869,0.535831856166118,0.539955881306483,0.53217652684793,0.524229771620168
"31","AI12A03",-59.645833,-1.564421,0.142857142857143,0.271493212669683,0.339772727272727,0.372718052738337,0.439726417782844,0.521513540875728,0.526345770435773,0.523087431693989,0.517602403922189
"32","AI12A04",-59.64656351,-1.564399975,0,0.116822429906542,0.267653758542141,0.340070742799394,0.415099715099715,0.498163859693555,0.507755799060766,0.509861977861796,0.505423953951738
"33","AI12A05",-59.64913838,-1.563604785,0,0,0.0510783200908059,0.221884498480243,0.339692482915718,0.403417721518987,0.429832680669277,0.456259392504212,0.463312037447024
"34","AI12A06",-59.65342982,-1.562279466,0,0,0,0.0755195134313228,0.188282138794084,0.261106189089989,0.326311294569782,0.356186224489796,0.406384459630473
"35","AI13A02",-59.75278122,-1.636504533,0.2,0.190909090909091,0.354948805460751,0.459787556904401,0.506700883946393,0.520920237643787,0.549900341685649,0.574702692850959,0.587195141239364
"36","AI13A03",-59.75292183,-1.636930942,0,0.14027149321267,0.334467120181406,0.448275862068966,0.492592592592593,0.517411675319742,0.545169787143162,0.574824665270061,0.585015503385433
"37","AI13A04",-59.75325928,-1.637954322,0,0.0226244343891403,0.303306727480046,0.416413373860182,0.461428978081412,0.510807736063709,0.538012528473804,0.57214451683448,0.581184955556258
"38","AI13A05",-59.75410291,-1.64051277,0,0,0.180067950169875,0.380880121396055,0.421202621829581,0.487221659919028,0.531587933978372,0.566431336825325,0.573787605580336
"39","AI13A06",-59.75541845,-1.644844876,0,0.0639269406392694,0.172571428571429,0.330121703853955,0.339595787076573,0.429691451694487,0.504234574051669,0.536072144288577,0.56427532106029
"40","AI15A01",-59.82905394,-1.521547657,0,0,0.00454029511918275,0.0526582278481013,0.137489325362938,0.164029869636755,0.147647184452196,0.154171980324285,0.17926408706932
"41","AI15A02",-59.82910496,-1.52137545,0,0,0.00226500566251416,0.0444893832153691,0.130051223676722,0.159959503923057,0.146587917170711,0.155398633257403,0.180161943319838
"42","AI15A03",-59.82923249,-1.52094493,0,0,0,0.0272865083375442,0.108330963889679,0.149943059597621,0.144951255959582,0.158613780226786,0.181714611221874
"43","AI15A04",-59.82953857,-1.519911683,0,0,0,0.00862506341958397,0.0644337212602895,0.12370220308939,0.144687210874671,0.165809007696161,0.182868172900449
"44","AI15A05",-59.83030377,-1.517328563,0,0,0,0,0.00227855311876958,0.0694936708860759,0.133580176587867,0.18477370002732,0.18741302972802
"45","AI15A06",-59.83157911,-1.513023356,0,0,0,0,0,0.0246866691986327,0.12347875596043,0.184576139935316,0.205030053780449
"46","AI15A07",-59.83412978,-1.504412916,0,0,0,0,0.00568828213879408,0.0897354765219592,0.14620257669585,0.18216595318335,0.231769432756493
"47","AI18A01",-59.708055,-1.679683,0.285714285714286,0.346846846846847,0.545766590389016,0.542193026781203,0.576879271070615,0.642821031344793,0.573280159521436,0.588597210828548,0.560088551549652
"48","AI18A02",-59.707905,-1.679838,0.117647058823529,0.299539170506912,0.54246885617214,0.532388663967611,0.572038724373576,0.639817629179331,0.569548203486304,0.586833712984055,0.557780519439436
"49","AI18A03",-59.707569,-1.680116,0,0.25,0.543280182232346,0.52020202020202,0.566059225512529,0.63000506842372,0.561192543048243,0.581337098096366,0.552779710328253
"50","AI18A04",-59.70676,-1.68085,0,0.200913242009132,0.525056947608201,0.495194739504299,0.556601083547191,0.603742571753698,0.545914009111617,0.564060506652087,0.541262059149138
"51","AI18A05",-59.705065,-1.682911,0,0.140909090909091,0.372146118721461,0.45959595959596,0.530983513359864,0.531325148715353,0.538937927107061,0.524349687941324,0.515784146264313
"52","AI19A01",-59.445706,-1.791642,0.514285714285714,0.324324324324324,0.378995433789954,0.293164556962025,0.270531400966184,0.246582278481013,0.272753148793852,0.284439182112118,0.290084788661098
"53","AI19A02",-59.445625,-1.791695,0.457142857142857,0.288990825688073,0.369318181818182,0.29128672745694,0.269307495012824,0.245887117185523,0.271718249733191,0.284289617486339,0.289175681660024
"54","AI19A03",-59.445209,-1.792028,0.138888888888889,0.195454545454545,0.329931972789116,0.276962025316456,0.261450924608819,0.246296061795619,0.267369020501139,0.283580730352427,0.284046692607004
"55","AI19A04",-59.444362,-1.792454,0,0.0675675675675676,0.238312428734322,0.258996452103396,0.246306818181818,0.249968358435641,0.256652910203501,0.283365218183475,0.278966019110296
"56","AI19A05",-59.442155,-1.793954,0,0,0.0285388127853881,0.145316455696203,0.214387261870913,0.25,0.250053369387319,0.266511797394552,0.27358430876305
"57","AI19A06",-59.437751,-1.796222,0,0.141552511415525,0.148063781321184,0.174595141700405,0.179070430567437,0.24551201011378,0.245835113199487,0.253884357770994,0.26111023248458
"58","AI20A01",-59.692408,-1.775501,0.294117647058824,0.202764976958525,0.148863636363636,0.251518218623482,0.343696520250998,0.360390021527162,0.34982206405694,0.333409246185379,0.349057200708681
"59","AI20A02",-59.692217,-1.77552,0.243243243243243,0.191964285714286,0.148571428571429,0.251776649746193,0.341505131128848,0.357278601292284,0.348655187135335,0.331040451895044,0.347064034421665
"60","AI20A03",-59.691803,-1.775768,0.0625,0.172897196261682,0.159090909090909,0.251515151515152,0.335895246228295,0.355406432008103,0.345428673070082,0.325241391874658,0.343286414676578
"61","AI20A04",-59.690716,-1.776112,0,0.0590909090909091,0.163055872291904,0.254305977710233,0.315654405474765,0.349721941354904,0.332621386871707,0.316470695469875,0.335579173783767
"62","AI20A05",-59.688281,-1.776656,0,0,0.156214367160775,0.321699544764795,0.278426902251354,0.322168857431749,0.297095258436566,0.296804485572321,0.32268471659919
"63","AI23A01",-59.67971467,-1.828494915,0.457142857142857,0.388127853881279,0.246871444823663,0.277693474962064,0.33171843830151,0.314856998228297,0.319880418535127,0.372950819672131,0.390672952194134
"64","AI23A02",-59.67953751,-1.828465071,0.314285714285714,0.337899543378995,0.242009132420091,0.265822784810127,0.324871648602396,0.314451890251612,0.31717559968681,0.369715743440233,0.387189625177922
"65","AI23A03",-59.6790946,-1.828390461,0.0810810810810811,0.244343891402715,0.213879408418658,0.237709072478459,0.30747371412333,0.309261370834917,0.310813696874778,0.362435669718085,0.379000348200437
"66","AI23A04",-59.67803161,-1.828211397,0,0.0493273542600897,0.147428571428571,0.181034482758621,0.261945392491468,0.294393114795596,0.302519214346712,0.345796520630294,0.360374612415364
"67","AI23A05",-59.67537414,-1.827763738,0,0,0.0159090909090909,0.117587430309174,0.172079772079772,0.265915706872548,0.284606077859227,0.304718098187449,0.321651114977068
"68","AI23A06",-59.67094503,-1.827017638,0,0,0.041002277904328,0.121073961499493,0.16505406943654,0.215830067012265,0.244430208555769,0.248417505350881,0.268609028502736
"69","AI24A01",-59.51339684,-1.802807558,0.428571428571429,0.375565610859729,0.291762013729977,0.337033299697275,0.368421052631579,0.329666160849772,0.245907473309609,0.226899945325314,0.206485289465359
