epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1819.55,0.7254,0.63684,1.12851,0.57404,0.4533,0.52876,0.3677,1.01496,1.19418,1.42799,0.000262013,0.000262013,0.000262013
142,1832.06,0.68476,0.61781,1.06672,0.63915,0.38367,0.50879,0.3657,1.02947,1.21757,1.43544,0.000259684,0.000259684,0.000259684
143,1845.84,0.65731,0.55904,1.05201,0.71999,0.33542,0.46317,0.32927,1.10845,1.31087,1.53026,0.000257356,0.000257356,0.000257356
144,1858.39,0.67824,0.6018,1.06277,0.46271,0.44041,0.49131,0.35134,1.05186,1.23317,1.45696,0.000255027,0.000255027,0.000255027
145,1870.94,0.69641,0.63909,1.07622,0.67241,0.48832,0.54214,0.38292,1.07732,1.22119,1.48302,0.000252699,0.000252699,0.000252699
146,1883.49,0.71596,0.63351,1.10076,0.45788,0.53651,0.51792,0.38744,1.05368,1.21325,1.47181,0.00025037,0.00025037,0.00025037
147,1896.05,0.67257,0.62396,1.0605,0.45835,0.49282,0.52489,0.39247,1.04136,1.22754,1.46773,0.000248042,0.000248042,0.000248042
148,1908.61,0.66147,0.59839,1.06913,0.65022,0.4702,0.55935,0.42323,1.02906,1.16606,1.44907,0.000245713,0.000245713,0.000245713
149,1921.13,0.68244,0.60099,1.07718,0.49974,0.54856,0.5302,0.37196,1.06749,1.18339,1.44111,0.000243385,0.000243385,0.000243385
150,1933.64,0.65555,0.5757,1.04761,0.53997,0.48927,0.54138,0.40083,1.02451,1.15745,1.43559,0.000241056,0.000241056,0.000241056
151,1946.17,0.66312,0.59818,1.06043,0.44269,0.57859,0.52111,0.37828,1.04336,1.14472,1.43743,0.000238728,0.000238728,0.000238728
152,1958.65,0.689,0.62564,1.09044,0.4961,0.53338,0.54271,0.39271,1.02714,1.18396,1.43796,0.0002364,0.0002364,0.0002364
153,1971.17,0.66394,0.58279,1.06915,0.62111,0.45488,0.53382,0.38362,1.03824,1.17398,1.48077,0.000234071,0.000234071,0.000234071
154,1984.9,0.69422,0.62687,1.10743,0.46058,0.53958,0.53764,0.39182,1.05355,1.18897,1.47677,0.000231743,0.000231743,0.000231743
155,1997.43,0.62046,0.55712,1.04511,0.64821,0.39122,0.53632,0.37962,1.02283,1.16991,1.46607,0.000229414,0.000229414,0.000229414
156,2009.96,0.63963,0.58881,1.04137,0.40485,0.62993,0.52002,0.38742,0.98711,1.2032,1.42819,0.000227086,0.000227086,0.000227086
157,2022.5,0.61317,0.56571,1.03194,0.52118,0.53672,0.57638,0.43347,0.96492,1.20939,1.38676,0.000224757,0.000224757,0.000224757
158,2035.02,0.62386,0.56528,1.03712,0.53981,0.44145,0.51349,0.38506,0.96036,1.24245,1.39024,0.000222429,0.000222429,0.000222429
159,2047.54,0.60876,0.55699,1.03068,0.53831,0.51667,0.57848,0.42197,0.99714,1.17319,1.42235,0.0002201,0.0002201,0.0002201
160,2060.03,0.5984,0.57796,1.04667,0.70772,0.47249,0.56729,0.41921,1.00618,1.16446,1.46019,0.000217772,0.000217772,0.000217772
161,2072.56,0.64529,0.58287,1.05322,0.50719,0.52705,0.55367,0.39287,1.01629,1.1913,1.47363,0.000215443,0.000215443,0.000215443
